INSERT INTO habitacion (num_hab, nombre_hot, tipo_hab) VALUES
('111', 'Citric Soller', 'individual'),
('112', 'Citric Soller', 'individual'),
('113', 'Citric Soller', 'individual'),
('114', 'Citric Soller', 'doble'),
('115', 'Citric Soller', 'individual'),
('116', 'Citric Soller', 'individual'),
('117', 'Citric Soller', 'doble'),
('118', 'Citric Soller', 'individual'),
('119', 'Citric Soller', 'doble'),
('120', 'Citric Soller', 'doble'),
('121', 'Citric Soller', 'individual'),
('122', 'Citric Soller', 'individual'),
('123', 'Citric Soller', 'individual'),
('124', 'Citric Soller', 'individual'),
('125', 'Citric Soller', 'individual'),
('126', 'Citric Soller', 'individual'),
('127', 'Citric Soller', 'individual'),
('128', 'Citric Soller', 'doble'),
('129', 'Citric Soller', 'doble'),
('130', 'Citric Soller', 'individual'),
('131', 'Citric Soller', 'individual'),
('132', 'Citric Soller', 'individual'),
('133', 'Citric Soller', 'doble'),
('134', 'Citric Soller', 'individual'),
('135', 'Citric Soller', 'individual'),
('136', 'Citric Soller', 'individual'),
('137', 'Citric Soller', 'individual'),
('138', 'Citric Soller', 'doble'),
('139', 'Citric Soller', 'individual'),
('140', 'Citric Soller', 'doble'),
('141', 'Citric Soller', 'doble'),
('142', 'Citric Soller', 'individual'),
('143', 'Citric Soller', 'individual'),
('144', 'Citric Soller', 'individual'),
('145', 'Citric Soller', 'individual'),
('146', 'Citric Soller', 'doble'),
('147', 'Citric Soller', 'individual'),
('148', 'Citric Soller', 'doble'),
('149', 'Citric Soller', 'individual'),
('100', 'Saratoga', 'doble'),
('101', 'Saratoga', 'doble'),
('102', 'Saratoga', 'individual'),
('103', 'Saratoga', 'doble'),
('104', 'Saratoga', 'doble'),
('105', 'Saratoga', 'individual'),
('106', 'Saratoga', 'doble'),
('107', 'Saratoga', 'doble'),
('108', 'Saratoga', 'individual'),
('109', 'Saratoga', 'doble'),
('110', 'Saratoga', 'individual'),
('111', 'Saratoga', 'individual'),
('112', 'Saratoga', 'individual'),
('113', 'Saratoga', 'individual'),
('114', 'Saratoga', 'individual'),
('115', 'Saratoga', 'doble'),
('116', 'Saratoga', 'doble'),
('117', 'Saratoga', 'individual'),
('118', 'Saratoga', 'individual'),
('119', 'Saratoga', 'individual'),
('120', 'Saratoga', 'doble'),
('121', 'Saratoga', 'doble'),
('122', 'Saratoga', 'individual'),
('123', 'Saratoga', 'doble'),
('124', 'Saratoga', 'individual'),
('125', 'Saratoga', 'individual'),
('126', 'Saratoga', 'doble'),
('127', 'Saratoga', 'doble'),
('128', 'Saratoga', 'individual'),
('129', 'Saratoga', 'doble'),
('130', 'Saratoga', 'doble'),
('131', 'Saratoga', 'individual'),
('132', 'Saratoga', 'individual'),
('133', 'Saratoga', 'individual'),
('134', 'Saratoga', 'individual'),
('135', 'Saratoga', 'doble'),
('136', 'Saratoga', 'individual'),
('137', 'Saratoga', 'individual'),
('138', 'Saratoga', 'doble'),
('139', 'Saratoga', 'doble'),
('140', 'Saratoga', 'doble'),
('141', 'Saratoga', 'doble'),
('142', 'Saratoga', 'individual'),
('143', 'Saratoga', 'individual'),
('144', 'Saratoga', 'individual'),
('145', 'Saratoga', 'doble'),
('146', 'Saratoga', 'individual'),
('147', 'Saratoga', 'doble'),
('148', 'Saratoga', 'individual'),
('149', 'Saratoga', 'individual'),
('100', 'Nordeste Playa', 'individual'),
('101', 'Nordeste Playa', 'individual'),
('102', 'Nordeste Playa', 'doble'),
('103', 'Nordeste Playa', 'individual'),
('104', 'Nordeste Playa', 'doble'),
('105', 'Nordeste Playa', 'individual'),
('106', 'Nordeste Playa', 'individual'),
('107', 'Nordeste Playa', 'doble'),
('108', 'Nordeste Playa', 'individual'),
('109', 'Nordeste Playa', 'individual'),
('110', 'Nordeste Playa', 'doble'),
('111', 'Nordeste Playa', 'individual'),
('112', 'Nordeste Playa', 'doble'),
('113', 'Nordeste Playa', 'doble'),
('114', 'Nordeste Playa', 'individual'),
('115', 'Nordeste Playa', 'doble'),
('116', 'Nordeste Playa', 'doble'),
('117', 'Nordeste Playa', 'doble'),
('118', 'Nordeste Playa', 'doble'),
('119', 'Nordeste Playa', 'individual'),
('120', 'Nordeste Playa', 'individual'),
('121', 'Nordeste Playa', 'doble'),
('122', 'Nordeste Playa', 'individual'),
('123', 'Nordeste Playa', 'individual'),
('124', 'Nordeste Playa', 'doble'),
('125', 'Nordeste Playa', 'doble'),
('126', 'Nordeste Playa', 'doble'),
('127', 'Nordeste Playa', 'doble'),
('128', 'Nordeste Playa', 'individual'),
('129', 'Nordeste Playa', 'doble'),
('130', 'Nordeste Playa', 'individual'),
('131', 'Nordeste Playa', 'individual'),
('132', 'Nordeste Playa', 'individual'),
('133', 'Nordeste Playa', 'doble'),
('134', 'Nordeste Playa', 'doble'),
('135', 'Nordeste Playa', 'doble'),
('136', 'Nordeste Playa', 'individual'),
('137', 'Nordeste Playa', 'doble'),
('138', 'Nordeste Playa', 'individual'),
('139', 'Nordeste Playa', 'doble'),
('140', 'Nordeste Playa', 'doble'),
('141', 'Nordeste Playa', 'individual'),
('142', 'Nordeste Playa', 'individual'),
('143', 'Nordeste Playa', 'individual'),
('144', 'Nordeste Playa', 'individual'),
('145', 'Nordeste Playa', 'doble'),
('146', 'Nordeste Playa', 'individual'),
('147', 'Nordeste Playa', 'individual'),
('148', 'Nordeste Playa', 'doble'),
('149', 'Nordeste Playa', 'doble'),
('100', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('101', 'PortBlue Club Pollentia Resort & Spa', 'doble'),
('102', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('103', 'PortBlue Club Pollentia Resort & Spa', 'doble'),
('104', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('105', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('106', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('107', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('108', 'PortBlue Club Pollentia Resort & Spa', 'doble'),
('109', 'PortBlue Club Pollentia Resort & Spa', 'doble'),
('110', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('111', 'PortBlue Club Pollentia Resort & Spa', 'doble'),
('112', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('113', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('114', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('115', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('116', 'PortBlue Club Pollentia Resort & Spa', 'doble'),
('117', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('118', 'PortBlue Club Pollentia Resort & Spa', 'doble'),
('119', 'PortBlue Club Pollentia Resort & Spa', 'doble'),
('120', 'PortBlue Club Pollentia Resort & Spa', 'doble'),
('121', 'PortBlue Club Pollentia Resort & Spa', 'doble'),
('122', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('123', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('124', 'PortBlue Club Pollentia Resort & Spa', 'doble'),
('125', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('126', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('127', 'PortBlue Club Pollentia Resort & Spa', 'doble'),
('128', 'PortBlue Club Pollentia Resort & Spa', 'doble'),
('129', 'PortBlue Club Pollentia Resort & Spa', 'doble'),
('130', 'PortBlue Club Pollentia Resort & Spa', 'doble'),
('131', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('132', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('133', 'PortBlue Club Pollentia Resort & Spa', 'doble'),
('134', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('135', 'PortBlue Club Pollentia Resort & Spa', 'doble'),
('136', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('137', 'PortBlue Club Pollentia Resort & Spa', 'doble'),
('138', 'PortBlue Club Pollentia Resort & Spa', 'doble'),
('139', 'PortBlue Club Pollentia Resort & Spa', 'doble'),
('140', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('141', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('142', 'PortBlue Club Pollentia Resort & Spa', 'doble'),
('143', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('144', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('145', 'PortBlue Club Pollentia Resort & Spa', 'doble'),
('146', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('147', 'PortBlue Club Pollentia Resort & Spa', 'individual'),
('148', 'PortBlue Club Pollentia Resort & Spa', 'doble'),
('149', 'PortBlue Club Pollentia Resort & Spa', 'doble'),
('100', 'Tent Capi Playa', 'individual'),
('101', 'Tent Capi Playa', 'individual'),
('102', 'Tent Capi Playa', 'doble'),
('103', 'Tent Capi Playa', 'doble'),
('104', 'Tent Capi Playa', 'doble'),
('105', 'Tent Capi Playa', 'individual'),
('106', 'Tent Capi Playa', 'doble'),
('107', 'Tent Capi Playa', 'individual'),
('108', 'Tent Capi Playa', 'individual'),
('109', 'Tent Capi Playa', 'doble'),
('110', 'Tent Capi Playa', 'individual'),
('111', 'Tent Capi Playa', 'doble'),
('112', 'Tent Capi Playa', 'doble'),
('113', 'Tent Capi Playa', 'individual'),
('114', 'Tent Capi Playa', 'individual'),
('115', 'Tent Capi Playa', 'doble'),
('116', 'Tent Capi Playa', 'doble'),
('117', 'Tent Capi Playa', 'doble'),
('118', 'Tent Capi Playa', 'individual'),
('119', 'Tent Capi Playa', 'doble'),
('120', 'Tent Capi Playa', 'doble'),
('121', 'Tent Capi Playa', 'doble'),
('122', 'Tent Capi Playa', 'individual'),
('123', 'Tent Capi Playa', 'doble'),
('124', 'Tent Capi Playa', 'doble'),
('125', 'Tent Capi Playa', 'doble'),
('126', 'Tent Capi Playa', 'doble'),
('127', 'Tent Capi Playa', 'doble'),
('128', 'Tent Capi Playa', 'individual'),
('129', 'Tent Capi Playa', 'individual'),
('130', 'Tent Capi Playa', 'individual'),
('131', 'Tent Capi Playa', 'doble'),
('132', 'Tent Capi Playa', 'individual'),
('133', 'Tent Capi Playa', 'individual'),
('134', 'Tent Capi Playa', 'doble'),
('135', 'Tent Capi Playa', 'doble'),
('136', 'Tent Capi Playa', 'doble'),
('137', 'Tent Capi Playa', 'individual'),
('138', 'Tent Capi Playa', 'individual'),
('139', 'Tent Capi Playa', 'doble'),
('140', 'Tent Capi Playa', 'individual'),
('141', 'Tent Capi Playa', 'individual'),
('142', 'Tent Capi Playa', 'doble'),
('143', 'Tent Capi Playa', 'individual'),
('144', 'Tent Capi Playa', 'individual'),
('145', 'Tent Capi Playa', 'doble'),
('146', 'Tent Capi Playa', 'doble'),
('147', 'Tent Capi Playa', 'individual'),
('148', 'Tent Capi Playa', 'doble'),
('149', 'Tent Capi Playa', 'doble'),
('100', 'Amic Horizonte', 'individual'),
('101', 'Amic Horizonte', 'doble'),
('102', 'Amic Horizonte', 'doble'),
('103', 'Amic Horizonte', 'individual'),
('104', 'Amic Horizonte', 'doble'),
('105', 'Amic Horizonte', 'doble'),
('106', 'Amic Horizonte', 'doble'),
('107', 'Amic Horizonte', 'doble'),
('108', 'Amic Horizonte', 'individual'),
('109', 'Amic Horizonte', 'doble'),
('110', 'Amic Horizonte', 'doble'),
('111', 'Amic Horizonte', 'individual'),
('112', 'Amic Horizonte', 'doble'),
('113', 'Amic Horizonte', 'doble'),
('114', 'Amic Horizonte', 'individual'),
('115', 'Amic Horizonte', 'doble'),
('116', 'Amic Horizonte', 'individual'),
('117', 'Amic Horizonte', 'doble'),
('118', 'Amic Horizonte', 'doble'),
('119', 'Amic Horizonte', 'individual'),
('120', 'Amic Horizonte', 'doble'),
('121', 'Amic Horizonte', 'individual'),
('122', 'Amic Horizonte', 'doble'),
('123', 'Amic Horizonte', 'individual'),
('124', 'Amic Horizonte', 'doble'),
('125', 'Amic Horizonte', 'individual'),
('126', 'Amic Horizonte', 'individual'),
('127', 'Amic Horizonte', 'individual'),
('128', 'Amic Horizonte', 'doble'),
('129', 'Amic Horizonte', 'individual'),
('130', 'Amic Horizonte', 'doble'),
('131', 'Amic Horizonte', 'doble'),
('132', 'Amic Horizonte', 'individual'),
('133', 'Amic Horizonte', 'doble'),
('134', 'Amic Horizonte', 'doble'),
('135', 'Amic Horizonte', 'doble'),
('136', 'Amic Horizonte', 'doble'),
('137', 'Amic Horizonte', 'individual'),
('138', 'Amic Horizonte', 'doble'),
('139', 'Amic Horizonte', 'doble'),
('140', 'Amic Horizonte', 'doble'),
('141', 'Amic Horizonte', 'individual'),
('142', 'Amic Horizonte', 'doble'),
('143', 'Amic Horizonte', 'individual'),
('144', 'Amic Horizonte', 'doble'),
('145', 'Amic Horizonte', 'individual'),
('146', 'Amic Horizonte', 'doble'),
('147', 'Amic Horizonte', 'doble'),
('148', 'Amic Horizonte', 'individual'),
('149', 'Amic Horizonte', 'doble'),
('100', 'Estrella', 'doble'),
('101', 'Estrella', 'doble'),
('102', 'Estrella', 'doble'),
('103', 'Estrella', 'individual'),
('104', 'Estrella', 'doble'),
('105', 'Estrella', 'individual'),
('106', 'Estrella', 'doble'),
('107', 'Estrella', 'doble'),
('108', 'Estrella', 'doble'),
('109', 'Estrella', 'individual'),
('110', 'Estrella', 'doble'),
('111', 'Estrella', 'individual'),
('112', 'Estrella', 'individual'),
('113', 'Estrella', 'individual'),
('114', 'Estrella', 'doble'),
('115', 'Estrella', 'individual'),
('116', 'Estrella', 'individual'),
('117', 'Estrella', 'individual'),
('118', 'Estrella', 'individual'),
('119', 'Estrella', 'individual'),
('120', 'Estrella', 'individual'),
('121', 'Estrella', 'individual'),
('122', 'Estrella', 'individual'),
('123', 'Estrella', 'individual'),
('124', 'Estrella', 'individual'),
('125', 'Estrella', 'doble'),
('126', 'Estrella', 'doble'),
('127', 'Estrella', 'individual'),
('128', 'Estrella', 'doble'),
('129', 'Estrella', 'doble'),
('130', 'Estrella', 'doble'),
('131', 'Estrella', 'individual'),
('132', 'Estrella', 'doble'),
('133', 'Estrella', 'doble'),
('134', 'Estrella', 'doble'),
('135', 'Estrella', 'individual'),
('136', 'Estrella', 'individual'),
('137', 'Estrella', 'individual'),
('138', 'Estrella', 'individual'),
('139', 'Estrella', 'doble'),
('140', 'Estrella', 'individual'),
('141', 'Estrella', 'doble'),
('142', 'Estrella', 'individual'),
('143', 'Estrella', 'doble'),
('144', 'Estrella', 'individual'),
('145', 'Estrella', 'doble'),
('146', 'Estrella', 'individual'),
('147', 'Estrella', 'individual'),
('148', 'Estrella', 'doble'),
('149', 'Estrella', 'individual'),
('100', 'Cappuccino', 'doble'),
('101', 'Cappuccino', 'doble'),
('102', 'Cappuccino', 'individual'),
('103', 'Cappuccino', 'individual'),
('104', 'Cappuccino', 'individual'),
('105', 'Cappuccino', 'individual'),
('106', 'Cappuccino', 'doble'),
('107', 'Cappuccino', 'doble'),
('108', 'Cappuccino', 'individual'),
('109', 'Cappuccino', 'individual'),
('110', 'Cappuccino', 'doble'),
('111', 'Cappuccino', 'doble'),
('112', 'Cappuccino', 'doble'),
('113', 'Cappuccino', 'doble'),
('114', 'Cappuccino', 'individual'),
('115', 'Cappuccino', 'doble'),
('116', 'Cappuccino', 'doble'),
('117', 'Cappuccino', 'doble'),
('118', 'Cappuccino', 'doble'),
('119', 'Cappuccino', 'individual'),
('120', 'Cappuccino', 'doble'),
('121', 'Cappuccino', 'individual'),
('122', 'Cappuccino', 'doble'),
('123', 'Cappuccino', 'doble'),
('124', 'Cappuccino', 'doble'),
('125', 'Cappuccino', 'individual'),
('126', 'Cappuccino', 'individual'),
('127', 'Cappuccino', 'individual'),
('128', 'Cappuccino', 'doble'),
('129', 'Cappuccino', 'doble'),
('130', 'Cappuccino', 'individual'),
('131', 'Cappuccino', 'individual'),
('132', 'Cappuccino', 'doble'),
('133', 'Cappuccino', 'doble'),
('134', 'Cappuccino', 'individual'),
('135', 'Cappuccino', 'doble'),
('136', 'Cappuccino', 'doble'),
('137', 'Cappuccino', 'doble'),
('138', 'Cappuccino', 'doble'),
('139', 'Cappuccino', 'doble'),
('140', 'Cappuccino', 'individual'),
('141', 'Cappuccino', 'doble'),
('142', 'Cappuccino', 'individual'),
('143', 'Cappuccino', 'doble'),
('144', 'Cappuccino', 'individual'),
('145', 'Cappuccino', 'individual'),
('146', 'Cappuccino', 'doble'),
('147', 'Cappuccino', 'doble'),
('148', 'Cappuccino', 'doble'),
('149', 'Cappuccino', 'individual'),
('100', 'Vell Mari Hotel & Resort', 'individual'),
('101', 'Vell Mari Hotel & Resort', 'doble'),
('102', 'Vell Mari Hotel & Resort', 'doble'),
('103', 'Vell Mari Hotel & Resort', 'doble'),
('104', 'Vell Mari Hotel & Resort', 'individual'),
('105', 'Vell Mari Hotel & Resort', 'doble'),
('106', 'Vell Mari Hotel & Resort', 'individual'),
('107', 'Vell Mari Hotel & Resort', 'individual'),
('108', 'Vell Mari Hotel & Resort', 'individual'),
('109', 'Vell Mari Hotel & Resort', 'individual'),
('110', 'Vell Mari Hotel & Resort', 'individual'),
('111', 'Vell Mari Hotel & Resort', 'doble'),
('112', 'Vell Mari Hotel & Resort', 'doble'),
('113', 'Vell Mari Hotel & Resort', 'doble'),
('114', 'Vell Mari Hotel & Resort', 'individual'),
('115', 'Vell Mari Hotel & Resort', 'doble'),
('116', 'Vell Mari Hotel & Resort', 'doble'),
('117', 'Vell Mari Hotel & Resort', 'doble'),
('118', 'Vell Mari Hotel & Resort', 'individual'),
('119', 'Vell Mari Hotel & Resort', 'doble'),
('120', 'Vell Mari Hotel & Resort', 'individual'),
('121', 'Vell Mari Hotel & Resort', 'individual'),
('122', 'Vell Mari Hotel & Resort', 'individual'),
('123', 'Vell Mari Hotel & Resort', 'doble'),
('124', 'Vell Mari Hotel & Resort', 'individual'),
('125', 'Vell Mari Hotel & Resort', 'individual'),
('126', 'Vell Mari Hotel & Resort', 'doble'),
('127', 'Vell Mari Hotel & Resort', 'individual'),
('128', 'Vell Mari Hotel & Resort', 'individual'),
('129', 'Vell Mari Hotel & Resort', 'doble'),
('130', 'Vell Mari Hotel & Resort', 'doble'),
('131', 'Vell Mari Hotel & Resort', 'doble'),
('132', 'Vell Mari Hotel & Resort', 'doble'),
('133', 'Vell Mari Hotel & Resort', 'individual'),
('134', 'Vell Mari Hotel & Resort', 'doble'),
('135', 'Vell Mari Hotel & Resort', 'doble'),
('136', 'Vell Mari Hotel & Resort', 'individual'),
('137', 'Vell Mari Hotel & Resort', 'individual'),
('138', 'Vell Mari Hotel & Resort', 'individual'),
('139', 'Vell Mari Hotel & Resort', 'doble'),
('140', 'Vell Mari Hotel & Resort', 'individual'),
('141', 'Vell Mari Hotel & Resort', 'doble'),
('142', 'Vell Mari Hotel & Resort', 'doble'),
('143', 'Vell Mari Hotel & Resort', 'individual'),
('144', 'Vell Mari Hotel & Resort', 'individual'),
('145', 'Vell Mari Hotel & Resort', 'doble'),
('146', 'Vell Mari Hotel & Resort', 'doble'),
('147', 'Vell Mari Hotel & Resort', 'individual'),
('148', 'Vell Mari Hotel & Resort', 'individual'),
('149', 'Vell Mari Hotel & Resort', 'doble'),
('100', 'Hostal Bonany', 'individual'),
('101', 'Hostal Bonany', 'doble'),
('102', 'Hostal Bonany', 'doble'),
('103', 'Hostal Bonany', 'doble'),
('104', 'Hostal Bonany', 'individual'),
('105', 'Hostal Bonany', 'individual'),
('106', 'Hostal Bonany', 'individual'),
('107', 'Hostal Bonany', 'doble'),
('108', 'Hostal Bonany', 'individual'),
('109', 'Hostal Bonany', 'individual'),
('110', 'Hostal Bonany', 'doble'),
('111', 'Hostal Bonany', 'doble'),
('112', 'Hostal Bonany', 'doble'),
('113', 'Hostal Bonany', 'doble'),
('114', 'Hostal Bonany', 'individual'),
('115', 'Hostal Bonany', 'doble'),
('116', 'Hostal Bonany', 'doble'),
('117', 'Hostal Bonany', 'doble'),
('118', 'Hostal Bonany', 'doble'),
('119', 'Hostal Bonany', 'doble'),
('120', 'Hostal Bonany', 'doble'),
('121', 'Hostal Bonany', 'individual'),
('122', 'Hostal Bonany', 'doble'),
('123', 'Hostal Bonany', 'doble'),
('124', 'Hostal Bonany', 'individual'),
('125', 'Hostal Bonany', 'individual'),
('126', 'Hostal Bonany', 'individual'),
('127', 'Hostal Bonany', 'doble'),
('128', 'Hostal Bonany', 'individual'),
('129', 'Hostal Bonany', 'doble'),
('130', 'Hostal Bonany', 'doble'),
('131', 'Hostal Bonany', 'doble'),
('132', 'Hostal Bonany', 'doble'),
('133', 'Hostal Bonany', 'doble'),
('134', 'Hostal Bonany', 'doble'),
('135', 'Hostal Bonany', 'individual'),
('136', 'Hostal Bonany', 'individual'),
('137', 'Hostal Bonany', 'individual'),
('138', 'Hostal Bonany', 'individual'),
('139', 'Hostal Bonany', 'individual'),
('140', 'Hostal Bonany', 'individual'),
('141', 'Hostal Bonany', 'individual'),
('142', 'Hostal Bonany', 'individual'),
('143', 'Hostal Bonany', 'individual'),
('144', 'Hostal Bonany', 'individual'),
('145', 'Hostal Bonany', 'doble'),
('146', 'Hostal Bonany', 'individual'),
('147', 'Hostal Bonany', 'individual'),
('148', 'Hostal Bonany', 'doble'),
('149', 'Hostal Bonany', 'individual');
